,Filename,Truth,Inference,CER-upd,CER-2-u,,,CER,CER2
0,images/c03-021a-s02-00.png.jpg,He shares her room and gives,He shares her room and gives,0,0,,,0,0
1,images/n03-082-s07-00.png.jpg,Big wind like that can't,Big wind like that can't,0,0,,,0,0
2,images/g06-042o-s01-04.png.jpg,known as homoeopathy had been,known as homoeopathy had been,0,0,,,0,0
3,images/c03-081e-s01-03.png.jpg,"exacting role , that of the sergeant , gives a perfor-","exacting role, that sergeant, gives a perfor-",16.66,16.82,,,16.66666667,16.82242991
4,images/k04-110-s02-03.png.jpg,if she could .,if she could.,7.14,7.4,,,7.142857143,7.407407407
5,images/k04-079-s01-01.png.jpg,compromise .,compromise.,8.33,8.69,,,8.333333333,8.695652174
6,images/a01-043u-s01-02.png.jpg,his Housing Minister .,his Housing Minister.,4.54,4.65,,,4.545454545,4.651162791
7,images/g04-052-s00-03.png.jpg,"the architect , himself a fine artist .","the architect, himself a fine artist.",5.12,5.19,,,5.128205128,5.194805195
8,images/r02-137-s00-00.png.jpg,' What have we here ?,What have me here?,19.04,17.07,,,19.04761905,17.07317073
9,images/p02-017-s00-01.png.jpg,"hardly believe that she was the same girl ,","hardly believe that she was the same girl,",2.32,2.35,,,2.325581395,2.352941176
10,images/e01-022-s01-01.png.jpg,bridal veil handed down from mother,bridal veil handed down from mother,0,0,,,0,0
11,images/h02-019-s00-00.png.jpg,"5 . We recommended that , in general , any drug or","5. We recommended that, in general, any drug or",6,6.06,,,6,6.060606061
12,images/b05-098-s02-00.png.jpg,I may well have felt that I was,I may well have felt that I was,0,0,,,0,0
13,images/j01-063-s01-04.png.jpg,water cooled flange G .,water cooled flange a.,8.69,6.66,,,8.695652174,6.666666667
14,images/b03-087-s03-01.png.jpg,the Government an extra excuse for counselling patience until the,the Government an extra excuse for counselling patience until the,0,0,,,0,0
15,images/g06-018n-s01-01.png.jpg,"was ' suffering as usual ' , but",was suffering as normal ; but,28.12,20.63,,,28.125,20.63492063
16,images/r02-003-s01-01.png.jpg,"process could , and often did take several years .","process could, and often did take several years",6,6.06,,,6,6.060606061
17,images/r06-003-s01-01.png.jpg,is a smart but modest bar called Pierre's Bar .,is a smart but modest bar called Pierre's bar.,4.25,3.22,,,4.255319149,3.225806452
18,images/n04-031-s00-00.png.jpg,Practically a shore job .,Practically a shore job.,4,4.08,,,4,4.081632653
19,images/c03-000e-s00-00.png.jpg,The film version of Miss Shelagh Delaney's,The film version of Miss Shelagh Delaney's,0,0,,,0,0
20,images/l01-105-s04-01.png.jpg,"indolent , she was now and again seized","problem, she was now cured again seized",28.2,19.48,,,28.20512821,19.48051948
21,images/m01-026-s03-00.png.jpg,Half an hour later Heather and Steve were still,Half an hour later Heather and Steve were still,0,0,,,0,0
22,images/l07-172-s02-01.png.jpg,with flocks of sailing boats which,with blocks of sailing boats which,2.94,1.49,,,2.941176471,1.492537313
23,images/g07-030-s02-01.png.jpg,"his almost filial love for her , her almost","his almost filial love for her, her almost",2.32,2.35,,,2.325581395,2.352941176
24,images/h04-000-s00-03.png.jpg,many of which were incomplete families,many of which were incomplete families,0,0,,,0,0
25,images/f01-053-s01-00.png.jpg,He does not,the does not,18.18,14.28,,,18.18181818,14.28571429
26,images/n04-149-s05-00.png.jpg,""" You 'll get nothing out of me , """,""" You'll get nothing out of me, """,5.71,5.79,,,5.714285714,5.797101449
27,images/g06-037m-s02-00.png.jpg,While he was in Naples,While he was in Naples,0,0,,,0,0
28,images/n06-194-s00-00.png.jpg,""" You 're 2durned tootin' , mister , "" said the man",""" You're 2durned tootin', mister, "" said the man",5.88,5.94,,,5.882352941,5.940594059
29,images/f07-084a-s00-04.png.jpg,household .,household.,9.09,9.52,,,9.090909091,9.523809524
30,images/e01-086-s04-01.png.jpg,"this hem , with 3 dc at each corner .","this hem, with 3 dc at each corner.",5.4,5.47,,,5.405405405,5.479452055
31,images/p03-112-s02-01.png.jpg,"become you to behave like a - a tart , Di . ""","become you to behave like a - a tart, Di. """,4.44,4.49,,,4.444444444,4.494382022
32,images/g06-037o-s02-02.png.jpg,of Anglesey's unceasing search for an,of Anglesey's unceasing search for an,0,0,,,0,0
33,images/l04-102-s02-00.png.jpg,The mouldering horror that had,The mouldering horror that had,0,0,,,0,0
34,images/j06-051-s00-04.png.jpg,by the headfirst downward swimming,by the heartfront downward swimming,14.7,8.95,,,14.70588235,8.955223881
35,images/h07-033a-s00-01.png.jpg,"balanced distribution of the type of shop , to","balanced distribution of the type of shop, to",2.17,2.19,,,2.173913043,2.197802198
36,images/l04-130-s01-01.png.jpg,shot at close range and his money smartly filched .,shot at close range and his money smartly finished,9.8,7.92,,,9.803921569,7.920792079
37,images/b02-045-s00-00.png.jpg,"Formula One , which appeared in February , appeared to make","Formula One, which appeared in February, appeared to make",3.38,3.41,,,3.389830508,3.418803419
38,images/g06-011f-s04-00.png.jpg,"What a gay , lively people , and what a busy town .","What a gay, lively people, and what a busy town.",5.88,5.94,,,5.882352941,5.940594059
39,images/k07-166-s02-00.png.jpg,It 'll make you feel like one !,It'll make you feel like one!,6.45,6.55,,,6.451612903,6.557377049
40,images/a01-011u-s00-04.png.jpg,meet in London today to discuss a common,meet in London today to discuss a common,0,0,,,0,0
41,images/m04-107-s03-04.png.jpg,dismay .,dismay.,12.5,13.33,,,12.5,13.33333333
42,images/b01-033-s03-01.png.jpg,of her money .,of her money.,7.14,7.4,,,7.142857143,7.407407407
43,images/l07-065-s01-01.png.jpg,"who ? "" Max prompted .","who? "" "" "" "" "" "" "" I have prompted.",81.81,76.74,,,81.81818182,76.74418605
44,images/f04-024-s00-01.png.jpg,"no easy task , but one in which patience and method","no easy task, but one in which patience and method",1.96,1.98,,,1.960784314,1.98019802
45,images/r06-076-s01-03.png.jpg,bloody child at the crossroads .,bloody child at the crossroads.,3.12,3.17,,,3.125,3.174603175
46,images/j07-015-s03-00.png.jpg,The corrugation,The corrugation,0,0,,,0,0
47,images/b05-062-s01-01.png.jpg,Pontius Pilate who washed his hands before the multitude,Pontius Pilate who washed his hands before the multitude,0,0,,,0,0
48,images/d06-072-s01-03.png.jpg,of what is going on .,of what is going on.,4.76,4.87,,,4.761904762,4.87804878
49,images/d04-066-s00-01.png.jpg,"in the first part of the Shmah , we have first "" and","in the first part of the showall, we have first "" and",9.61,5.82,,,9.615384615,5.825242718
50,images/g06-037c-s02-02.png.jpg,for an effective alleviation of his painful malady .,for an effective alleviation of his painful malady.,1.92,1.94,,,1.923076923,1.941747573
51,images/g06-018k-s01-00.png.jpg,"In late November , he was ' suffering as","in late November, he was'suffering as",10,8.86,,,10,8.860759494
52,images/g06-026l-s03-02.png.jpg,by the Duke of Wellington .,by the Perke of Wellington.,14.81,11.32,,,14.81481481,11.32075472
53,images/r02-006-s00-04.png.jpg,ther her career .,their her career.,11.76,12.12,,,11.76470588,12.12121212
54,images/c04-144-s02-01.png.jpg,"date . ""","date. """,12.5,13.33,,,12.5,13.33333333
55,images/k03-152-s02-02.png.jpg,rather dismal stuff is going to come out . ',rather dismal stuff is going to come out. ',2.27,2.29,,,2.272727273,2.298850575
56,images/m02-066-s01-01.png.jpg,penetrate beyond the minds of astronomers was of general,exertimate beyond the minds of astronomers was of general,8.92,6.3,,,8.928571429,6.306306306
57,images/p03-173-s00-00.png.jpg,"Almost in desperation she appealed ,","Almost in desperation she appealed,",2.77,2.81,,,2.777777778,2.816901408
58,images/f04-004-s00-00.png.jpg,When he learned what was causing the commotion he,When he learned what was causing the commotion he,0,0,,,0,0
59,images/a01-026x-s02-01.png.jpg,"of Sir Roy Welensky , Prime Minister of the","of Sir Roy Welensky, Prime Minister of the",2.32,2.35,,,2.325581395,2.352941176
60,images/c06-005-s02-01.png.jpg,amber inches in the bottle .,amber inches in the bottle.,3.57,3.63,,,3.571428571,3.636363636
61,images/d04-012-s02-03.png.jpg,is the Shamir and such a man fulfils,is the Shamir and such a man full falls,11.11,9.85,,,11.11111111,9.85915493
62,images/c04-008-s02-01.png.jpg,""" The Right Approach "" ( Rialto , "" A "" ) , and it 's a glum",""" The Right Approach "" ( Rialto, "" A "" ), and it's a",13.33,13.44,,,13.33333333,13.44537815
63,images/f04-039-s02-01.png.jpg,"as a man of about thirty , of medium height , with","as a man of about thirty, of medium height, with",4,4.04,,,4,4.04040404
64,images/l01-016-s04-00.png.jpg,The real Michael - he was the,The real Michael - he was the,0,0,,,0,0
65,images/p02-131-s00-02.png.jpg,along .,along.,14.28,15.38,,,14.28571429,15.38461538
66,images/g07-000b-s01-07.png.jpg,degree about the matter ' .,degree about the smaller.,22.22,18.86,,,22.22222222,18.86792453
67,images/g06-031d-s04-02.png.jpg,"will be so great at the return of Ultratoryism ,","will be so great at the return of Ultratoryism,",2.08,2.1,,,2.083333333,2.105263158
68,images/l07-131-s02-00.png.jpg,The owner was a middle-aged,The owner was a middle-aged,0,0,,,0,0
69,images/p03-158-s01-00.png.jpg,She loosened the half-hoop of,She loosened the half-hoop of,0,0,,,0,0
70,images/g04-098-s00-02.png.jpg,all the many vicissitudes of a long ministry .,all the many vicissitudes of a long ministry it,4.34,3.29,,,4.347826087,3.296703297
71,images/a05-073-s02-01.png.jpg,"know what the Russians want . ""","knows what the Russians want. """,6.45,6.55,,,6.451612903,6.557377049
72,images/g06-045p-s00-00.png.jpg,"In April of that year his first wife's brother-in-law , the diplomatist","In April of that year his first wife's brother-in-law, the diplomatist",1.4,1.41,,,1.408450704,1.418439716
73,images/b02-105-s01-01.png.jpg,while in Germany itself the course of,while in Germany itself the course of,0,0,,,0,0
74,images/h04-028-s01-04.png.jpg,gradients being steepest for,gradicts being steepest for,7.14,5.45,,,7.142857143,5.454545455
75,images/h07-028a-s00-05.png.jpg,centres of up to thirty or more shops,centres of cup to thirty or more stops,5.4,4.1,,,5.405405405,4.109589041
76,images/a02-098-s00-00.png.jpg,Its terms have set the Prime Minister an exacting,Its teams have set the Prime Minister an exacting,2.04,1.03,,,2.040816327,1.030927835
77,images/b04-066-s05-00.png.jpg,""" Nonsense . """,""" Nonsense. """,7.14,7.4,,,7.142857143,7.407407407
78,images/g06-018n-s02-03.png.jpg,temperature is high & I have,temperature in high & I have,3.57,1.81,,,3.571428571,1.818181818
79,images/r06-007-s00-01.png.jpg,a good address . ',"a good address. """,11.11,8.57,,,11.11111111,8.571428571
80,images/p06-052-s01-03.png.jpg,him .,chim.,40,44.44,,,40,44.44444444
